year,rubles
2023,171040000000000.0
2022,155350400000000.0
2021,135773800000000.0
2020,107390300000000.0
2019,109608300000000.0
2018,103861700000000.0
2017,91843200000000.0
2016,85616100000000.0
2015,83087400000000.0
2014,79030000000000.0
2013,72085700000000.0
2012,68103399999999.99
2011,60114000000000.0
2010,46308500000000.0
2009,38807200000000.0
2008,41276800000000.0
2007,33247500000000.0
2006,26917200000000.0
2005,21609800000000.0
2004,17027200000000.0
2003,13080200000000.0
2002,10830500000000.0
2001,8943600000000.0
2000,7305600000000.0
1999,4823200000000.0
1998,2629600000000.0
1997,2340000000000.0
1996,2010000000000.0
1995,1430000000000.0
1994,610700000000.0
1993,171500000000.0
